event_description,category,severity,location,industry,source
Government policy changes affected import operations.,Political,Low,"Mumbai, IN",Semiconductors,AI Generated Historical Dataset
"Flooding forced temporary closure of warehouses in Seoul, KR.",Natural Disaster,Medium,"Seoul, KR",Electronics,AI Generated Historical Dataset
Economic slowdown reduced supply chain efficiency.,Financial,Low,"Seoul, KR",Manufacturing,AI Generated Historical Dataset
Trade sanctions disrupted exports from Singapore.,Political,Medium,Singapore,Food,AI Generated Historical Dataset
Inflation raised logistics expenses across Singapore.,Financial,Medium,Singapore,Electronics,AI Generated Historical Dataset
"Trade sanctions disrupted exports from Rotterdam, NL.",Political,High,"Rotterdam, NL",Logistics,AI Generated Historical Dataset
"Trade sanctions disrupted exports from Rotterdam, NL.",Political,Medium,"Rotterdam, NL",Food,AI Generated Historical Dataset
Government policy changes affected import operations.,Political,Medium,"Hamburg, DE",Retail,AI Generated Historical Dataset
Border restrictions delayed international shipments.,Political,Medium,"Taipei, TW",Manufacturing,AI Generated Historical Dataset
"Heavy rainfall caused severe flooding near Singapore, delaying shipments.",Natural Disaster,Low,Singapore,Retail,AI Generated Historical Dataset
"Port congestion delayed container shipments in Mumbai, IN.",Transportation,High,"Mumbai, IN",Pharmaceuticals,AI Generated Historical Dataset
Regional conflict disrupted logistics routes.,Political,High,"Rotterdam, NL",Electronics,AI Generated Historical Dataset
Freight costs surged because of market instability.,Financial,Medium,"Mumbai, IN",Electronics,AI Generated Historical Dataset
Shipping vessel breakdown caused delivery delays near Singapore.,Transportation,High,Singapore,Pharmaceuticals,AI Generated Historical Dataset
"Inflation raised logistics expenses across Tokyo, JP.",Financial,Medium,"Tokyo, JP",Logistics,AI Generated Historical Dataset
"Port congestion delayed container shipments in Mumbai, IN.",Transportation,High,"Mumbai, IN",Retail,AI Generated Historical Dataset
"Heavy rainfall caused severe flooding near Mumbai, IN, delaying shipments.",Natural Disaster,Low,"Mumbai, IN",Food,AI Generated Historical Dataset
Fuel prices increased transportation costs significantly.,Financial,High,"Taipei, TW",Food,AI Generated Historical Dataset
"Inflation raised logistics expenses across Mumbai, IN.",Financial,High,"Mumbai, IN",Logistics,AI Generated Historical Dataset
Fuel prices increased transportation costs significantly.,Financial,Medium,"Hamburg, DE",Manufacturing,AI Generated Historical Dataset
Fuel prices increased transportation costs significantly.,Financial,Low,"Mumbai, IN",Semiconductors,AI Generated Historical Dataset
Political conflict interrupted cross-border transportation.,Political,Medium,"Taipei, TW",Manufacturing,AI Generated Historical Dataset
Trade sanctions disrupted exports from Singapore.,Political,Medium,Singapore,Semiconductors,AI Generated Historical Dataset
"Airport cargo operations were suspended in Hamburg, DE.",Transportation,Medium,"Hamburg, DE",Semiconductors,AI Generated Historical Dataset
"Railway maintenance delayed cargo transportation in Taipei, TW.",Transportation,Low,"Taipei, TW",Textiles,AI Generated Historical Dataset
Government policy changes affected import operations.,Political,Medium,"Seoul, KR",Pharmaceuticals,AI Generated Historical Dataset
Border restrictions delayed international shipments.,Political,High,"Tokyo, JP",Manufacturing,AI Generated Historical Dataset
Fuel prices increased transportation costs significantly.,Financial,Medium,"Shanghai, CN",Logistics,AI Generated Historical Dataset
"Cyclone interrupted cargo movement across Shanghai, CN.",Natural Disaster,High,"Shanghai, CN",Automotive,AI Generated Historical Dataset
Economic slowdown reduced supply chain efficiency.,Financial,High,"Seoul, KR",Food,AI Generated Historical Dataset
Fuel prices increased transportation costs significantly.,Financial,Medium,"Seoul, KR",Manufacturing,AI Generated Historical Dataset
Component supplier unexpectedly halted production.,Supplier,High,Singapore,Semiconductors,AI Generated Historical Dataset
"Heavy rainfall caused severe flooding near Los Angeles, US, delaying shipments.",Natural Disaster,Medium,"Los Angeles, US",Manufacturing,AI Generated Historical Dataset
"Earthquake damaged transportation infrastructure around Shanghai, CN.",Natural Disaster,Low,"Shanghai, CN",Logistics,AI Generated Historical Dataset
"Shipping vessel breakdown caused delivery delays near Taipei, TW.",Transportation,High,"Taipei, TW",Automotive,AI Generated Historical Dataset
Border restrictions delayed international shipments.,Political,Low,"Seoul, KR",Semiconductors,AI Generated Historical Dataset
Railway maintenance delayed cargo transportation in Singapore.,Transportation,Low,Singapore,Electronics,AI Generated Historical Dataset
"Flooding forced temporary closure of warehouses in Dubai, UAE.",Natural Disaster,Low,"Dubai, UAE",Electronics,AI Generated Historical Dataset
"Port congestion delayed container shipments in Dubai, UAE.",Transportation,Medium,"Dubai, UAE",Manufacturing,AI Generated Historical Dataset
