text,label
"Gaza health chief urges action to save Dr Abu Safia before it’s too late",0
"Dangerous Crossroads: The House of Saud Joins Israel and the US in Iran War",0
"Homer’s Economy Ran on Oxen, Wine and Trust",0
"Fatal air ambulance crash exposes growing GPS danger facing US flights",0
"Shelter Shortage In Kyiv Adds To Suffering Amid Russian Onslaught",0
"AI is changing work faster than the data can keep up",0
"China unveils massive plan to build AI training datasets as global data shortage looms",0
"Trump’s son-in-law cruises on Vembanad Lake",0
"Do hedgehogs like hay?",0
"Why are so many AI models going rogue? The experts weigh in",0
"US Army wants soldiers to test tomorrow's tech while preparing to fight today",0
"Federal Reserve officials warn against holding interest rates steady as inflation drags on",0
"India and Australia must move decisively to build resilient energy supply chains",1
"AI boom, West Asia crisis trigger printed circuit board shortage and price rise in electronics industry",1
"Indian manufacturers turn to air freight as West Asia crisis disrupts sea shipments",1
"China eases fuel export curbs as global supply crunch deepens",1
"Drone strikes target CPC route tankers carrying Kazakhstan’s oil",1
"Houthis strike Saudi oil tankers and blockade east-west pipeline route",1
"Transpacific container rates rally as Europe’s peak season fades",1
"Rhine set for more disruption after hitting lowest on record",1
"Heavy rare earth metals plant boosts U.S. supply chain independence",1
"On the Line: Bangladesh’s Energy Woes Complicate Production",1
"Typhoon Dolphin hits Japan's Okinawa, China shuts ports ahead of landfall",1
"Supply chain insurance is the most sought-after product amid geopolitical tensions",1
"PC motherboards are now more expensive as PCB supply runs dry",1
"New violent action by Mexican cartels could disrupt avocados from entering US market",1
