text,label
"China's policy of rare-earth export restrictions has already whittled down its monopoly power",1
"Iran says deal with Oman on control of strait is close",1
"Saudi Arabia's $5 Oil Detour Is Expensive—and Worth It",1
"Chevron CEO warns Iran conflict threatens global oil supplies, gas prices climb",1
"China's Top Refiner Pivots to Russian Crude",1
"Trump Signs Order on Export Curbs to Retain Critical Minerals",1
"Early surge in US container imports coming to an end, shippers say",1
"Russia will have to depend on Chinese hardware",1
"India and Australia must move decisively to build resilient energy supply chains",1
"CargoNet reports losses and cargo theft trends",1
"Transpacific Container Rates Rally as Europe's Peak Season Fades",1
"Heavy Rare Earth Metals Plant Boosts U.S. Supply Chain Independence",1
"Rhine Set for More Disruption After Hitting Lowest on Record",1
"Hormuz Crisis Is Rewriting the Global LPG Trade",1
"Gas Shortages and High Prices Derail Southeast Asia's Power Buildout",1
"AI boom and West Asia crisis trigger printed circuit board shortage and price rise",1
"Typhoon hits Japan and China shuts ports ahead of landfall",1
"Port workers strike causes major shipping delays",1
"Factory fire forces semiconductor production to stop",1
"Flooding shuts down a major manufacturing facility",1
"Supplier bankruptcy affects component deliveries",1
"Container shortage causes delays at major ports",1
"Drone strikes target tankers carrying Kazakhstan's oil",1
"Houthis strike Saudi oil tankers and blockade an east-west pipeline route",1
"China eases fuel export curbs as global supply crunch deepens",1
"Do hedgehogs like Cheerios?",0
"Class Struggle, Objectivity, and Material Reality: The Dictatorship of Stalin",0
"Why are so many AI models going rogue? The experts weigh in",0
"AI is changing work faster than the data can keep up",0
"Broadcom Vs. Nvidia: The Real Challenger and Champion Story in Chips",0
"SK Hynix promises to invest over $38 billion in new DRAM and NAND fabs",0
"Intel stock rises and investors want its dividend back",0
"BorgWarner reports strong second quarter 2026 results",0
"Avista Corp. reports Q2 2026 financial results",0
"Milky Mist IPO: Premium valuation, but creamy growth prospects",0
"Samsung features you won't find on other Android phones",0
"Motorola Moto Pad 70 announced with 5G connectivity",0
"Atari ST public floppy database now open for everyone",0
"How to wear shorts to work office stylist advice",0
"Better value than a Golf? How to buy a VW ID 3",0
"Nvidia could boost Lancium stake with a $1 billion investment",0
"China unveils massive plan to build AI training datasets",0
"How Spider-Man's climactic fight scene evokes Jean Grey's Phoenix",0
"JBL Professional speaker deal at Amazon",0
"Razer gaming keyboard sale at Amazon",0
"BMW M3 Competition Package for sale",0
"Toyota Corolla SR5 Coupe for sale",0
"Milky Mist's paneer growth prospects",0
"Widespread Incident Locks Guests out of Six Flags Theme Park as Emergency Personnel Arrive on Scene",0
