event_description,category,severity,location,industry,source
"Sea shipment from Shanghai, CN transporting Textiles experienced No Major Disruption with a delay of 0 days.",Natural Disaster,High,"Shanghai, CN",Textiles,Historical Dataset
"Air shipment from Tokyo, JP transporting Pharmaceuticals experienced No Major Disruption with a delay of 0 days.",Transportation,Medium,"Tokyo, JP",Pharmaceuticals,Historical Dataset
"Air shipment from Shenzhen, CN transporting Semiconductors experienced No Major Disruption with a delay of 0 days.",Natural Disaster,High,"Shenzhen, CN",Semiconductors,Historical Dataset
"Sea shipment from Santos, BR transporting Consumer Electronics experienced No Major Disruption with a delay of 0 days.",Natural Disaster,High,"Santos, BR",Consumer Electronics,Historical Dataset
"Sea shipment from Hamburg, DE transporting Raw Materials experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Hamburg, DE",Raw Materials,Historical Dataset
"Sea shipment from Hamburg, DE transporting Auto Parts experienced No Major Disruption with a delay of 0 days.",Transportation,Medium,"Hamburg, DE",Auto Parts,Historical Dataset
"Sea shipment from Mumbai, IN transporting Consumer Electronics experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Mumbai, IN",Consumer Electronics,Historical Dataset
"Sea shipment from Tokyo, JP transporting Perishable Foods experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Tokyo, JP",Perishable Foods,Historical Dataset
"Sea shipment from Hamburg, DE transporting Pharmaceuticals experienced Port Congestion with a delay of 3 days.",Transportation,Medium,"Hamburg, DE",Pharmaceuticals,Historical Dataset
"Sea shipment from Shenzhen, CN transporting Perishable Foods experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Shenzhen, CN",Perishable Foods,Historical Dataset
"Sea shipment from Shenzhen, CN transporting Consumer Electronics experienced Geopolitical Conflict (Route Diversion) with a delay of 8 days.",Political,Medium,"Shenzhen, CN",Consumer Electronics,Historical Dataset
"Sea shipment from Tokyo, JP transporting Textiles experienced No Major Disruption with a delay of 0 days.",Transportation,Medium,"Tokyo, JP",Textiles,Historical Dataset
"Sea shipment from Hamburg, DE transporting Perishable Foods experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Hamburg, DE",Perishable Foods,Historical Dataset
"Sea shipment from Tokyo, JP transporting Consumer Electronics experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Tokyo, JP",Consumer Electronics,Historical Dataset
"Sea shipment from Tokyo, JP transporting Perishable Foods experienced Severe Weather (Typhoon/Storm) with a delay of 7 days.",Natural Disaster,Medium,"Tokyo, JP",Perishable Foods,Historical Dataset
"Sea shipment from Shanghai, CN transporting Consumer Electronics experienced No Major Disruption with a delay of 0 days.",Natural Disaster,High,"Shanghai, CN",Consumer Electronics,Historical Dataset
"Air shipment from Hamburg, DE transporting Semiconductors experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Hamburg, DE",Semiconductors,Historical Dataset
"Sea shipment from Hamburg, DE transporting Semiconductors experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Hamburg, DE",Semiconductors,Historical Dataset
"Sea shipment from Shanghai, CN transporting Pharmaceuticals experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Shanghai, CN",Pharmaceuticals,Historical Dataset
"Air shipment from Tokyo, JP transporting Pharmaceuticals experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Tokyo, JP",Pharmaceuticals,Historical Dataset
"Air shipment from Shenzhen, CN transporting Pharmaceuticals experienced Geopolitical Conflict (Route Diversion) with a delay of 16 days.",Political,High,"Shenzhen, CN",Pharmaceuticals,Historical Dataset
"Sea shipment from Shenzhen, CN transporting Perishable Foods experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Shenzhen, CN",Perishable Foods,Historical Dataset
"Sea shipment from Shenzhen, CN transporting Consumer Electronics experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Shenzhen, CN",Consumer Electronics,Historical Dataset
"Sea shipment from Mumbai, IN transporting Perishable Foods experienced Geopolitical Conflict (Route Diversion) with a delay of 7 days.",Political,Medium,"Mumbai, IN",Perishable Foods,Historical Dataset
"Air shipment from Mumbai, IN transporting Semiconductors experienced No Major Disruption with a delay of 0 days.",Transportation,Medium,"Mumbai, IN",Semiconductors,Historical Dataset
"Air shipment from Hamburg, DE transporting Pharmaceuticals experienced No Major Disruption with a delay of 0 days.",Transportation,Low,"Hamburg, DE",Pharmaceuticals,Historical Dataset
"Sea shipment from Santos, BR transporting Auto Parts experienced No Major Disruption with a delay of 0 days.",Transportation,Medium,"Santos, BR",Auto Parts,Historical Dataset
"Sea shipment from Shenzhen, CN transporting Consumer Electronics experienced No Major Disruption with a delay of 0 days.",Natural Disaster,High,"Shenzhen, CN",Consumer Electronics,Historical Dataset
"Sea shipment from Shenzhen, CN transporting Auto Parts experienced No Major Disruption with a delay of 0 days.",Natural Disaster,High,"Shenzhen, CN",Auto Parts,Historical Dataset
"Sea shipment from Hamburg, DE transporting Textiles experienced No Major Disruption with a delay of 0 days.",Natural Disaster,High,"Hamburg, DE",Textiles,Historical Dataset
